included,Title,DOI,Abstract
0,[A gynaecological cause of upper abdominal pain: Fitz-Hugh-Curtis syndrome],,"A 19-year-old woman was admitted to our hospital because of unexplained pain in the right upper abdomen and fever. Her medical history noted a recent uncomplicated pregnancy and birth of a healthy child. Our differential diagnosis included pyelonephritis, pulmonary embolism, pneumonia causing pleural pain, a gastrointestinal cause, or a subphrenic abscess. A vaginal culture was taken as part of a second opinion by a gynaecologist. However, after a few days PCR on the vaginal sample was positive for Chlamydia trachomatis, indicating a case of Fitz-Hugh-Curtis syndrome. This syndrome is a complication of pelvic inflammatory disease caused by a bacterial infection, most frequently Gonococcal or Chlamydia species. The patient was treated with doxycycline and recovered quickly. As a result of ignoring a possible gynaecological cause in this patient, the time to diagnosis and treatment was delayed. Left untreated, this disease might result in infertility and in complications in the newborn. A broad differential diagnosis is therefore important."
0,Fitz-Hugh-Curtis syndrome lacking typical characteristics of pelvic inflammatory disease,10.1136/bcr-2016-215711,"A 23-year-old Japanese woman, previously a commercial sex worker, presented with a 2-day history of right upper quadrant (RUQ) abdominal pain, worse on deep inspiration. She had noticed increased vaginal discharge 2 months earlier and had developed dull, lower abdominal pain 3 weeks prior to presentation. Although pelvic examination and transvaginal ultrasonography revealed neither a tubal nor ovarian pathology, abdominal CT scan with contrast demonstrated early enhancement of the hepatic capsule, a finding pathognomonic for Fitz-Hugh-Curtis syndrome (FHCS). Cervical discharge PCR assay confirmed Chlamydia trachomatis infection. This case highlights that normal gynaecological evaluation may be insufficient to rule out FHCS, for which physicians should have a high index of suspicion when seeing any woman of reproductive age with RUQ pain."
0,Chlamydia ascites: a call for sexually transmitted infection testing,10.1136/bcr-2018-226437,"A 26-year-old gravida 2, para 2-0-0-2 woman with a recent uncomplicated vaginal delivery 10 weeks prior presented to our hospital with 5 weeks of abdominal swelling and discomfort. Four weeks after delivery, the patient began having right upper quadrant pain and was found to have cholelithiasis. She underwent an elective laparoscopic cholecystectomy 6 weeks prior to admission, but started to develop worsening abdominal swelling 1 week postoperatively. Abdominal distension and shifting dullness were present on examination. CT of the abdomen and pelvis was remarkable for moderate-volume ascites and mild enhancement of the pelvic peritoneum. Paracentesis removed 2.46 L of ascites fluid with 76% lymphocytic predominance. Results for Chlamydia trachomatis were positive in urine, cervical swab and ascitic fluid. Doxycycline was prescribed for a diagnosis of pelvic inflammatory disease exudative ascites. Since discharge, she has completed her antibiotic course and reports resolution of all symptoms without recurrence of ascites."
0,Fitz-Hugh-Curtis syndrome resulting in nutmeg liver on computed tomography,10.1016/j.radcr.2019.04.008,"A 34-year-old woman entered the emergency room with abdominal pain in the right upper quadrant. Computed tomography scan showed a nutmeg liver suspected for increased venous pressure by thrombosis of the liver veins, Budd-Chiari malformation, or right-sided heart failure. Interestingly, the diagnosis was pelvic inflammatory disease complicated by the Fitz-Hugh-Curtis syndrome (FHCS). Pelvic inflammatory disease resulted from an ascended infection by Chlamydia trachomatis. FHCS was caused by perihepatitis defined as inflammation of the peritoneal capsule of the liver. Fast diagnosis and treatment is crucial. Therefore, we report a case of FHCS characterized by a nutmeg liver on computed tomography."
0,[Regression of uterine cervical diffuse large B-cell lymphoma transformed from mucosa-associated lymphoid tissue lymphoma subsequent to Chlamydia trachomatis eradication],10.11406/rinketsu.58.912,"A 37-year-old-woman was referred to our center after her uterine cervix health screening presented abnormal findings. We performed a biopsy of the uterine cervix to examine for cervical dysplasia, and diagnosed a diffuse large B-cell lymphoma transformed from mucosa-associated lymphoid tissue (MALT) lymphoma of the cervix. The patient presented with concurrent chlamydial cervicitis and received eradication therapy for Chlamydia trachomatis. Four months later, the CD20 positive abnormal lymphocyte disappeared and complete remission was achieved. MALT lymphoma is considered to correlate with infection and inflammation. Particularly, the relationship between gastric MALT lymphoma and Helicobacter pylori is well known. MALT lymphoma of the uterine cervix is rare, and its relationship with C.trachomatis infection is unknown. Further studies are warranted to investigate this association."
0,Complex clinical management of group A Streptococcal pelvic inflammatory disease after bilateral tubal ligation in a small community hospital,10.1136/bcr-2020-236326,"A 43-year-old woman with a history of bilateral tubal ligation and bilateral ovarian cysts presented to our hospital with progressively worsening right lower quadrant pain and abdominal distension. Her exam findings of vaginal discharge and cervical motion tenderness, in combination with her marked leucocytosis, were suggestive of pelvic inflammatory disease (PID). PCR for Chlamydia trachomatis and Neisseria gonorrhoeae was negative, however, our patient's blood cultures grew group A Streptococcus This exceptionally severe presentation of PID, in combination with uncommon laboratory findings, led to complex multidisciplinary clinical decision making guided by extensive literature review. Here, we present a rare case of group A Streptococcus PID after bilateral tubal ligation, and highlight the role of a family medicine primary team in the medical and surgical management of a complex case at a community hospital."
1,Uncommon cause of pelvic inflammatory disease leading to toxic shock syndrome,10.1136/bcr-2018-224955,"A 44-year-old Caucasian female with a history of endometriosis is admitted to the intensive care unit due to severe left lower quadrant abdominal pain, nausea and vomiting. With patients' positive chandelier sign on pelvic examination, leucocytosis, elevated erythrocyte sedimentation rate and elevated C-reactive protein indicated that she had pelvic inflammatory disease (PID). PCR tests were negative for Neisseria gonorrhoeae and Chlamydia trachomatis; however, her blood and urine cultures grew Group A streptococci (GAS) with a negative rapid Streptococcus throat swab and no known exposure to Streptococcus On further review, patient met criteria for GAS toxic shock syndrome based on diagnostic guidelines. The patient was promptly treated with intravenous antibiotics and supportive care, and she acutely recovered. This case demonstrates a rare cause of PID and an atypical aetiology of severe sepsis. It illuminates the importance of considering PID as a source of infection for undifferentiated bacteraemia."
0,Fitz-Hugh-Curtis syndrome: An incidental diagnostic finding in an infertility workup,10.4103/1119-3077.181357,"A case of Fitz-Hugh-Curtis syndrome in a 32-year-old para 1+1 is reported. She presented with inability to conceive of 4 years duration. Her husband's semen analysis was within normal range. She had a hysterosalpingogram that showed bilateral tubal blockage and clinical assessment showed right sided abdominal tenderness, cervical excitation tenderness, and adnexa tenderness. The endocervical swab test for Chlamydia trachomatis was a positive. Laparoscopy and dye test showed adhesion bands on the under surface of the liver (the violin string appearance). She recovered well postoperatively. The couple received ofloxacin and metronidazole for 2 weeks. Literatures on Fitz-Hugh-Curtis syndrome presentation, pathogenesis, and management were reviewed."
0,[A FITZ-HUGH-CURTIS SYNDROME AS A PREMISE OF THE INFLAMMATORY DISEASES OF A HEPATOPANCREATOBILIARY ZONE ORGANS],,"A content of a biliary ways microflora and its correlation with clinical form and severity of inflammatory-destructive processes in hepatopancreatobiliary zone were studied up. The investigation objective was the optimization of a treatment--diagnostic tactics for the complications and remote recurrences rate reduction in a complicated biliary calculous disease. There was established, that a standard bacteriological investigation do not give a possibility to estimate some causes of a biliary ducts affection, a chlamidial infection in particular. So on, for the individual antibacterial therapy choosing a more detailed and modern examination of patients is needed."
0,A simple and rapid DNA extraction method for Chlamydia trachomatis detection from urogenital swabs,10.1016/j.diagmicrobio.2017.08.007,A highly sensitive and specific Chlamydia trachomatis (CT) diagnostic test was developed by combining filtration isolation of nucleic acid (FINA) extraction with quantitative polymerase chain reaction including an internal control to identify test inhibition. A pilot study of 40 clinical specimens yielded 100% sensitivity and specificity.
0,Comparison between culture and a multiplex quantitative real-time polymerase chain reaction assay detecting Ureaplasma urealyticum and U. parvum,10.1371/journal.pone.0102743,"A novel multiplex quantitative real-time polymerase chain reaction (qPCR) for simultaneous detection of U. urealyticum and U. parvum was developed and compared with quantitative culture in Shepard's 10 C medium for ureaplasmas in urethral swabs from 129 men and 66 women, and cervical swabs from 61 women. Using culture as the gold standard, the sensitivity of the qPCR was 96% and 95% for female urethral and cervical swabs, respectively. In male urethral swabs the sensitivity was 89%. The corresponding specificities were 100%, 87% and 99%. The qPCR showed a linear increasing DNA copy number with increasing colour-changing units. Although slightly less sensitive than culture, this multiplex qPCR assay detecting U. urealyticum and U. parvum constitutes a simple and fast alternative to the traditional methods for identification of ureaplasmas and allows simultaneous species differentiation and quantitation in clinical samples. Furthermore, specimens overgrown by other bacteria using the culture method can be evaluated in the qPCR."
