,algoritmo,extraccion,modelo,BASE,file_name,recall_0.1,recall_0.25,recall_0.5,recall_0.75,recall_0.9,wss_0.95,erf_0.1,atd
36,logistic,D2V,logD2V,CTA,metrics_sim_simepi1_logistic_doc2vec_0.json,0.263803681,0.595092025,0.883435583,0.975460123,0.993865031,0.336419753,0.165644172,161.1226994
33,logistic,D2V,logD2V,CTA,metrics_sim_simepi1_logistic_doc2vec_1.json,0.220858896,0.576687117,0.877300613,0.969325153,0.993865031,0.354938272,0.122699387,166.2147239
97,logistic,D2V,logD2V,CTA,metrics_sim_simepi1_logistic_doc2vec_10.json,0.239263804,0.570552147,0.877300613,0.969325153,0.993865031,0.351851852,0.141104294,166.4662577
85,logistic,D2V,logD2V,CTA,metrics_sim_simepi1_logistic_doc2vec_11.json,0.251533742,0.570552147,0.901840491,0.987730061,0.993865031,0.395061728,0.153374233,161.8343558
9,logistic,D2V,logD2V,CTA,metrics_sim_simepi1_logistic_doc2vec_12.json,0.202453988,0.582822086,0.895705521,0.969325153,0.993865031,0.365740741,0.104294479,169.2147239
7,logistic,D2V,logD2V,CTA,metrics_sim_simepi1_logistic_doc2vec_13.json,0.245398773,0.539877301,0.871165644,0.981595092,0.993865031,0.334876543,0.147239264,168.2638037
45,logistic,D2V,logD2V,CTA,metrics_sim_simepi1_logistic_doc2vec_14.json,0.245398773,0.588957055,0.901840491,0.975460123,0.993865031,0.382716049,0.147239264,161.7791411
70,logistic,D2V,logD2V,CTA,metrics_sim_simepi1_logistic_doc2vec_2.json,0.190184049,0.533742331,0.883435583,0.969325153,0.993865031,0.361111111,0.09202454,173.9263804
55,logistic,D2V,logD2V,CTA,metrics_sim_simepi1_logistic_doc2vec_3.json,0.202453988,0.595092025,0.883435583,0.975460123,0.993865031,0.325617284,0.104294479,165.0490798
104,logistic,D2V,logD2V,CTA,metrics_sim_simepi1_logistic_doc2vec_4.json,0.220858896,0.54601227,0.883435583,0.969325153,0.993865031,0.354938272,0.122699387,169.0736196
77,logistic,D2V,logD2V,CTA,metrics_sim_simepi1_logistic_doc2vec_5.json,0.257668712,0.570552147,0.877300613,0.975460123,0.993865031,0.385802469,0.159509202,163.190184
14,logistic,D2V,logD2V,CTA,metrics_sim_simepi1_logistic_doc2vec_6.json,0.202453988,0.533742331,0.871165644,0.969325153,0.993865031,0.316358025,0.104294479,174.1288344
3,logistic,D2V,logD2V,CTA,metrics_sim_simepi1_logistic_doc2vec_7.json,0.214723926,0.582822086,0.895705521,0.975460123,0.993865031,0.367283951,0.116564417,167.601227
95,logistic,D2V,logD2V,CTA,metrics_sim_simepi1_logistic_doc2vec_8.json,0.251533742,0.564417178,0.889570552,0.981595092,0.993865031,0.36882716,0.153374233,164.8773006
86,logistic,D2V,logD2V,CTA,metrics_sim_simepi1_logistic_doc2vec_9.json,0.26993865,0.570552147,0.895705521,0.981595092,0.993865031,0.353395062,0.171779141,164.0184049
