,algoritmo,extraccion,modelo,BASE,file_name,recall_0.1,recall_0.25,recall_0.5,recall_0.75,recall_0.9,wss_0.95,erf_0.1,atd
180,RF,D2V,RFD2V,CTC,metrics_sim_simepi2_rf_doc2vec_0.json,0.333333333,0.333333333,1,1,1,0.513888889,0.222222222,144.2222222
161,RF,D2V,RFD2V,CTC,metrics_sim_simepi2_rf_doc2vec_1.json,0.222222222,0.333333333,1,1,1,0.391975309,0.111111111,196.5555556
199,RF,D2V,RFD2V,CTC,metrics_sim_simepi2_rf_doc2vec_10.json,0.111111111,0.666666667,0.888888889,1,1,0.577160494,0,149.6666667
193,RF,D2V,RFD2V,CTC,metrics_sim_simepi2_rf_doc2vec_11.json,0.222222222,0.222222222,0.555555556,1,1,0.316358025,0.111111111,241.8888889
118,RF,D2V,RFD2V,CTC,metrics_sim_simepi2_rf_doc2vec_12.json,0.111111111,0.333333333,1,1,1,0.404320988,0,180.6666667
113,RF,D2V,RFD2V,CTC,metrics_sim_simepi2_rf_doc2vec_13.json,0.333333333,0.444444444,1,1,1,0.422839506,0.222222222,175.1111111
152,RF,D2V,RFD2V,CTC,metrics_sim_simepi2_rf_doc2vec_14.json,0.222222222,0.555555556,0.888888889,1,1,0.362654321,0.111111111,149.2222222
154,RF,D2V,RFD2V,CTC,metrics_sim_simepi2_rf_doc2vec_2.json,0.111111111,0.333333333,1,1,1,0.390432099,0,170.4444444
129,RF,D2V,RFD2V,CTC,metrics_sim_simepi2_rf_doc2vec_3.json,0.111111111,0.333333333,0.777777778,1,1,0.320987654,0,205.3333333
119,RF,D2V,RFD2V,CTC,metrics_sim_simepi2_rf_doc2vec_4.json,0.111111111,0.333333333,0.888888889,1,1,0.356481481,0,219.1111111
112,RF,D2V,RFD2V,CTC,metrics_sim_simepi2_rf_doc2vec_5.json,0.333333333,0.333333333,1,1,1,0.486111111,0.222222222,153.4444444
198,RF,D2V,RFD2V,CTC,metrics_sim_simepi2_rf_doc2vec_6.json,0,0.555555556,1,1,1,0.442901235,-0.111111111,171.3333333
194,RF,D2V,RFD2V,CTC,metrics_sim_simepi2_rf_doc2vec_7.json,0.222222222,0.333333333,1,1,1,0.399691358,0.111111111,188.7777778
123,RF,D2V,RFD2V,CTC,metrics_sim_simepi2_rf_doc2vec_8.json,0.222222222,0.444444444,1,1,1,0.393518519,0.111111111,172.8888889
107,RF,D2V,RFD2V,CTC,metrics_sim_simepi2_rf_doc2vec_9.json,0.222222222,0.555555556,1,1,1,0.473765432,0.111111111,144.2222222
134,SVM,D2V,SVMD2V,CTC,metrics_sim_simepi2_svm_doc2vec_0.json,0.111111111,0.555555556,1,1,1,0.524691358,0,150.4444444
148,SVM,D2V,SVMD2V,CTC,metrics_sim_simepi2_svm_doc2vec_1.json,0.333333333,0.777777778,1,1,1,0.513888889,0.222222222,111.3333333
150,SVM,D2V,SVMD2V,CTC,metrics_sim_simepi2_svm_doc2vec_10.json,0.333333333,0.444444444,1,1,1,0.507716049,0.222222222,147.3333333
131,SVM,D2V,SVMD2V,CTC,metrics_sim_simepi2_svm_doc2vec_11.json,0.111111111,0.444444444,0.888888889,1,1,0.455246914,0,178.4444444
182,SVM,D2V,SVMD2V,CTC,metrics_sim_simepi2_svm_doc2vec_12.json,0.222222222,0.777777778,1,1,1,0.524691358,0.111111111,115
160,SVM,D2V,SVMD2V,CTC,metrics_sim_simepi2_svm_doc2vec_13.json,0.333333333,0.777777778,1,1,1,0.533950617,0.222222222,113.8888889
200,SVM,D2V,SVMD2V,CTC,metrics_sim_simepi2_svm_doc2vec_14.json,0.444444444,0.888888889,0.888888889,1,1,0.604938272,0.333333333,103.8888889
158,SVM,D2V,SVMD2V,CTC,metrics_sim_simepi2_svm_doc2vec_2.json,0.222222222,0.666666667,1,1,1,0.555555556,0.111111111,127.1111111
183,SVM,D2V,SVMD2V,CTC,metrics_sim_simepi2_svm_doc2vec_3.json,0.333333333,0.777777778,1,1,1,0.575617284,0.222222222,109.2222222
190,SVM,D2V,SVMD2V,CTC,metrics_sim_simepi2_svm_doc2vec_4.json,0.333333333,0.666666667,1,1,1,0.492283951,0.222222222,139.3333333
203,SVM,D2V,SVMD2V,CTC,metrics_sim_simepi2_svm_doc2vec_5.json,0.111111111,0.222222222,1,1,1,0.399691358,0,220.1111111
115,SVM,D2V,SVMD2V,CTC,metrics_sim_simepi2_svm_doc2vec_6.json,0.555555556,0.777777778,0.888888889,1,1,0.583333333,0.444444444,100.2222222
116,SVM,D2V,SVMD2V,CTC,metrics_sim_simepi2_svm_doc2vec_7.json,0.222222222,0.777777778,1,1,1,0.532407407,0.111111111,135.7777778
185,SVM,D2V,SVMD2V,CTC,metrics_sim_simepi2_svm_doc2vec_8.json,0.333333333,0.666666667,1,1,1,0.518518519,0.222222222,131.3333333
209,SVM,D2V,SVMD2V,CTC,metrics_sim_simepi2_svm_doc2vec_9.json,0.222222222,0.777777778,1,1,1,0.510802469,0.111111111,119.1111111
